attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,other_info_string,start_time,venue
"24,993']",Colorado Rockies,1,2,0,https://www.baseball-reference.com/boxes/MIA/MIA201606190.shtml,"Sunday, June 19, 2016",,: 2:51,"Day Game, on grass",Miami Marlins,0,8,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Sean Barber, 1B - Ron Kulpa, 2B - Chris Conroy, 3B - Jerry Meals.</div><div><strong>Time of Game:</strong> 2:51.</div>
<div><strong>Attendance:</strong> 24,993.</div>
<div><strong>Start Time Weather:</strong> 75&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 1:12 p.m. Local,: Marlins Park
"45,931']",Milwaukee Brewers,1,6,1,https://www.baseball-reference.com/boxes/LAN/LAN201606190.shtml,"Sunday, June 19, 2016",,: 2:44,"Day Game, on grass",Los Angeles Dodgers,0,8,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Tim Timmons, 1B - Ryan Blakney, 2B - Mike Everitt, 3B - Jordan Baker.</div><div><strong>Time of Game:</strong> 2:44.</div>
<div><strong>Attendance:</strong> 45,931.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 99&deg; F, Wind 7mph out to Rightfield, Sunny.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Dodger Stadium
"34,659']",Detroit Tigers,1,5,1,https://www.baseball-reference.com/boxes/KCA/KCA201606190.shtml,"Sunday, June 19, 2016",,: 3:32,"Day Game, on grass",Kansas City Royals,0,7,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Gabe Morales, 1B - Angel Hernandez, 2B - Will Little, 3B - Ted Barrett.</div><div><strong>Time of Game:</strong> 3:32.</div>
<div><strong>Attendance:</strong> 34,659.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 88&deg; F, Wind 9mph from Right to Left, Cloudy.</div>

    </div>

-->",Start Time: 1:16 p.m. Local,: Kauffman Stadium
"36,369']",Cincinnati Reds,0,5,0,https://www.baseball-reference.com/boxes/HOU/HOU201606190.shtml,"Sunday, June 19, 2016",,: 2:48,"Day Game, on grass",Houston Astros,0,8,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - D.J. Reyburn, 1B - Bill Welke, 2B - John Hirschbeck, 3B - Vic Carapazza.</div><div><strong>Time of Game:</strong> 2:48.</div>
<div><strong>Attendance:</strong> 36,369.</div>
<div><strong>Start Time Weather:</strong> 73&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Minute Maid Park
"25,269']",Chicago White Sox,0,6,2,https://www.baseball-reference.com/boxes/CLE/CLE201606190.shtml,"Sunday, June 19, 2016",,: 3:12,"Day Game, on grass",Cleveland Indians,1,12,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Tom Woodring, 1B - Tony Randazzo, 2B - Todd Tichenor, 3B - Bill Miller.</div><div><strong>Time of Game:</strong> 3:12.</div>
<div><strong>Attendance:</strong> 25,269.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 86&deg; F, Wind 13mph from Left to Right, Cloudy.</div>

    </div>

-->",Start Time: 1:11 p.m. Local,: Progressive Field
"41,024']",Pittsburgh Pirates,0,13,5,https://www.baseball-reference.com/boxes/CHN/CHN201606190.shtml,"Sunday, June 19, 2016",,: 3:23,"Night Game, on grass",Chicago Cubs,1,14,10,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jim Wolf, 1B - Ramon De Jesus, 2B - Gary Cederstrom, 3B - Eric Cooper.</div><div><strong>Time of Game:</strong> 3:23.</div>
<div><strong>Attendance:</strong> 41,024.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 87&deg; F, Wind 11mph out to Centerfield, Sunny.</div>

    </div>

-->",Start Time: 7:08 p.m. Local,: Wrigley Field
"37,211']",Seattle Mariners,0,8,1,https://www.baseball-reference.com/boxes/BOS/BOS201606190.shtml,"Sunday, June 19, 2016",,: 3:05,"Day Game, on grass",Boston Red Sox,0,11,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Ben May, 1B - Tripp Gibson, 2B - Jerry Layne, 3B - Hunter Wendelstedt.</div><div><strong>Time of Game:</strong> 3:05.</div>
<div><strong>Attendance:</strong> 37,211.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 80&deg; F, Wind 15mph out to Leftfield, Sunny.</div>

    </div>

-->",Start Time: 1:35 p.m. Local,: Fenway Park
"39,024']",Toronto Blue Jays,0,7,6,https://www.baseball-reference.com/boxes/BAL/BAL201606190.shtml,"Sunday, June 19, 2016",,: 3:31,"Day Game, on grass",Baltimore Orioles,1,19,11,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Dale Scott, 1B - Bob Davidson, 2B - Lance Barrett, 3B - Dan Iassogna.</div><div><strong>Time of Game:</strong> 3:31.</div>
<div><strong>Attendance:</strong> 39,024.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 87&deg; F, Wind 3mph out to Rightfield, Sunny.</div>

    </div>

-->",Start Time: 1:38 p.m. Local,: Oriole Park at Camden Yards
"23,948']",San Francisco Giants,2,11,6,https://www.baseball-reference.com/boxes/TBA/TBA201606180.shtml,"Saturday, June 18, 2016",,: 3:13,"Day Game, on turf",Tampa Bay Rays,0,8,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - John Tumpane, 1B - Paul Nauert, 2B - Jeff Kellogg, 3B - Scott Barry.</div><div><strong>Time of Game:</strong> 3:13.</div>
<div><strong>Attendance:</strong> 23,948.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 4:12 p.m. Local,: Tropicana Field
"44,375']",Texas Rangers,1,9,4,https://www.baseball-reference.com/boxes/SLN/SLN201606180.shtml,"Saturday, June 18, 2016",,: 3:05,"Day Game, on grass",St. Louis Cardinals,1,7,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Kerwin Danley, 1B - Andy Fletcher, 2B - Joe West, 3B - Mark Ripperger.</div><div><strong>Time of Game:</strong> 3:05.</div>
<div><strong>Attendance:</strong> 44,375.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 90&deg; F, Wind 7mph from Right to Left.</div>

    </div>

-->",Start Time: 3:16 p.m. Local,: Busch Stadium III
"34,113']",Washington Nationals,1,8,3,https://www.baseball-reference.com/boxes/SDN/SDN201606180.shtml,"Saturday, June 18, 2016",,: 3:12,"Night Game, on grass",San Diego Padres,1,9,7,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Brian Knight, 1B - Sam Holbrook, 2B - Gerry Davis, 3B - Carlos Torres.</div><div><strong>Time of Game:</strong> 3:12.</div>
<div><strong>Attendance:</strong> 34,113.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 78&deg; F, Wind 11mph from Left to Right, Overcast.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Petco Park
"33,797']",Arizona Diamondbacks,0,11,4,https://www.baseball-reference.com/boxes/PHI/PHI201606180.shtml,"Saturday, June 18, 2016",,: 2:37,"Day Game, on grass",Philadelphia Phillies,1,4,1,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Laz Diaz, 1B - Marvin Hudson, 2B - Jim Joyce, 3B - Adam Hamari.</div><div><strong>Time of Game:</strong> 2:37.</div>
<div><strong>Attendance:</strong> 33,797.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 84&deg; F, Wind 5mph out to Rightfield, Sunny.</div>

    </div>

-->",Start Time: 3:07 p.m. Local,: Citizens Bank Park
"32,134']",Atlanta Braves,1,7,4,https://www.baseball-reference.com/boxes/NYN/NYN201606180.shtml,"Saturday, June 18, 2016",,: 3:02,"Night Game, on grass",New York Mets,0,7,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Marty Foster, 1B - Mark Wegner, 2B - Mike Muchlinski, 3B - Mike Winters.</div><div><strong>Time of Game:</strong> 3:02.</div>
<div><strong>Attendance:</strong> 32,134.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 75&deg; F, Wind 15mph out to Leftfield, Sunny.</div>

    </div>

-->",Start Time: 8:16 p.m. Local,: Citi Field
"30,760']",New York Yankees,1,12,7,https://www.baseball-reference.com/boxes/MIN/MIN201606180.shtml,"Saturday, June 18, 2016",,: 3:10,"Day Game, on grass",Minnesota Twins,0,9,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Quinn Wolcott, 1B - Paul Emmel, 2B - Pat Hoberg, 3B - Mark Carlson.</div><div><strong>Time of Game:</strong> 3:10.</div>
<div><strong>Attendance:</strong> 30,760.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 81&deg; F, Wind 5mph out to Centerfield, Cloudy.</div>

    </div>

-->",Start Time: 1:11 p.m. Local,: Target Field
"19,655']",Colorado Rockies,0,8,6,https://www.baseball-reference.com/boxes/MIA/MIA201606180.shtml,"Saturday, June 18, 2016",,: 3:23,"Day Game, on grass",Miami Marlins,0,17,9,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jerry Meals, 1B - Sean Barber, 2B - Ron Kulpa, 3B - Chris Conroy.</div><div><strong>Time of Game:</strong> 3:23.</div>
<div><strong>Attendance:</strong> 19,655.</div>
<div><strong>Start Time Weather:</strong> 80&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 4:11 p.m. Local,: Marlins Park
"44,112']",Milwaukee Brewers,0,11,6,https://www.baseball-reference.com/boxes/LAN/LAN201606180.shtml,"Saturday, June 18, 2016",,: 3:28,"Night Game, on grass",Los Angeles Dodgers,0,14,10,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jordan Baker, 1B - Tim Timmons, 2B - Ryan Blakney, 3B - Mike Everitt.</div><div><strong>Time of Game:</strong> 3:28.</div>
<div><strong>Attendance:</strong> 44,112.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 81&deg; F, Wind 5mph out to Centerfield, Cloudy.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Dodger Stadium
"38,480']",Detroit Tigers,1,10,5,https://www.baseball-reference.com/boxes/KCA/KCA201606180.shtml,"Saturday, June 18, 2016",,: 3:16,"Night Game, on grass",Kansas City Royals,1,21,16,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Ted Barrett, 1B - Gabe Morales, 2B - Angel Hernandez, 3B - Will Little.</div><div><strong>Time of Game:</strong> 3:16.</div>
<div><strong>Attendance:</strong> 38,480.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 86&deg; F, Wind 11mph from Right to Left, Sunny.</div>

    </div>

-->",Start Time: 7:15 p.m. Local,: Kauffman Stadium
"39,111']",Cincinnati Reds,0,9,4,https://www.baseball-reference.com/boxes/HOU/HOU201606180.shtml,"Saturday, June 18, 2016",,: 3:05,"Day Game, on grass",Houston Astros,0,13,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Vic Carapazza, 1B - D.J. Reyburn, 2B - Bill Welke, 3B - John Hirschbeck.</div><div><strong>Time of Game:</strong> 3:05.</div>
<div><strong>Attendance:</strong> 39,111.</div>
<div><strong>Start Time Weather:</strong> 73&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 3:10 p.m. Local,: Minute Maid Park
"31,066']",Chicago White Sox,1,7,2,https://www.baseball-reference.com/boxes/CLE/CLE201606180.shtml,"Saturday, June 18, 2016",,: 3:00,"Night Game, on grass",Cleveland Indians,0,15,13,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Bill Miller, 1B - Tom Woodring, 2B - Tony Randazzo, 3B - Todd Tichenor.</div><div><strong>Time of Game:</strong> 3:00.</div>
<div><strong>Attendance:</strong> 31,066.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 77&deg; F, Wind 7mph in from Rightfield, Cloudy.</div>

    </div>

-->",Start Time: 6:11 p.m. Local,: Progressive Field
"41,424']",Pittsburgh Pirates,0,8,3,https://www.baseball-reference.com/boxes/CHN/CHN201606180.shtml,"Saturday, June 18, 2016",,: 3:00,"Night Game, on grass",Chicago Cubs,0,6,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Eric Cooper, 1B - Jim Wolf, 2B - Ramon De Jesus, 3B - Gary Cederstrom.</div><div><strong>Time of Game:</strong> 3:00.</div>
<div><strong>Attendance:</strong> 41,424.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 73&deg; F, Wind 5mph in from Rightfield, Cloudy.</div>

    </div>

-->",Start Time: 7:17 p.m. Local,: Wrigley Field
"37,195']",Seattle Mariners,1,9,2,https://www.baseball-reference.com/boxes/BOS/BOS201606180.shtml,"Saturday, June 18, 2016",,: 2:53,"Day Game, on grass",Boston Red Sox,0,12,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Hunter Wendelstedt, 1B - Ben May, 2B - Tripp Gibson, 3B - Jerry Layne.</div><div><strong>Time of Game:</strong> 2:53.</div>
<div><strong>Attendance:</strong> 37,195.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 65&deg; F, Wind 14mph in from Rightfield, Sunny.</div>

    </div>

-->",Start Time: 4:06 p.m. Local,: Fenway Park
"41,901']",Toronto Blue Jays,0,7,2,https://www.baseball-reference.com/boxes/BAL/BAL201606180.shtml,"Saturday, June 18, 2016",,: 2:33,"Day Game, on grass",Baltimore Orioles,1,9,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Dan Iassogna, 1B - Dale Scott, 2B - Bob Davidson, 3B - Lance Barrett.</div><div><strong>Time of Game:</strong> 2:33.</div>
<div><strong>Attendance:</strong> 41,901.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 83&deg; F, Wind 8mph out to Leftfield, Sunny.</div>

    </div>

-->",Start Time: 4:09 p.m. Local,: Oriole Park at Camden Yards
"40,135']",San Francisco Giants,0,7,5,https://www.baseball-reference.com/boxes/TBA/TBA201606170.shtml,"Friday, June 17, 2016",,: 2:45,"Night Game, on turf",Tampa Bay Rays,1,4,1,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Scott Barry, 1B - John Tumpane, 2B - Paul Nauert, 3B - Jeff Kellogg.</div><div><strong>Time of Game:</strong> 2:45.</div>
<div><strong>Attendance:</strong> 40,135.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 7:25 p.m. Local,: Tropicana Field
"44,064']",Texas Rangers,0,6,1,https://www.baseball-reference.com/boxes/SLN/SLN201606170.shtml,"Friday, June 17, 2016",,: 2:23,"Night Game, on grass",St. Louis Cardinals,0,3,0,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Mark Ripperger, 1B - Kerwin Danley, 2B - Andy Fletcher, 3B - Joe West.</div><div><strong>Time of Game:</strong> 2:23.</div>
<div><strong>Attendance:</strong> 44,064.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 85&deg; F, Wind 11mph in from Rightfield, Sunny.</div>

    </div>

-->",Start Time: 7:16 p.m. Local,: Busch Stadium III
"31,137']",Washington Nationals,0,11,7,https://www.baseball-reference.com/boxes/SDN/SDN201606170.shtml,"Friday, June 17, 2016",,: 3:12,"Night Game, on grass",San Diego Padres,0,9,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Carlos Torres, 1B - Brian Knight, 2B - Sam Holbrook, 3B - Gerry Davis.</div><div><strong>Time of Game:</strong> 3:12.</div>
<div><strong>Attendance:</strong> 31,137.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 76&deg; F, Wind 13mph from Left to Right, Sunny.</div>

    </div>

-->",Start Time: 7:41 p.m. Local,: Petco Park
"19,282']",Arizona Diamondbacks,0,16,10,https://www.baseball-reference.com/boxes/PHI/PHI201606170.shtml,"Friday, June 17, 2016",,: 3:04,"Night Game, on grass",Philadelphia Phillies,3,7,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Adam Hamari, 1B - Laz Diaz, 2B - Marvin Hudson, 3B - Jim Joyce.</div><div><strong>Time of Game:</strong> 3:04.</div>
<div><strong>Attendance:</strong> 19,282.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 73&deg; F, Wind 11mph from Right to Left, Cloudy.</div>

    </div>

-->",Start Time: 7:08 p.m. Local,: Citizens Bank Park
"24,591']",Los Angeles Angels of Anaheim,1,6,2,https://www.baseball-reference.com/boxes/OAK/OAK201606170.shtml,"Friday, June 17, 2016",,: 2:51,"Night Game, on grass",Oakland Athletics,1,10,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Doug Eddings, 1B - Jeff Nelson, 2B - Nic Lentz, 3B - Cory Blaser.</div><div><strong>Time of Game:</strong> 2:51.</div>
<div><strong>Attendance:</strong> 24,591.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 65&deg; F, Wind 13mph out to Rightfield, Cloudy.</div>

    </div>

-->",Start Time: 6:37 p.m. Local,: Oakland-Alameda County Coliseum
"40,148']",Atlanta Braves,0,11,5,https://www.baseball-reference.com/boxes/NYN/NYN201606170.shtml,"Friday, June 17, 2016",,: 3:13,"Night Game, on grass",New York Mets,1,6,1,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Mike Winters, 1B - Marty Foster, 2B - Mark Wegner, 3B - Mike Muchlinski.</div><div><strong>Time of Game:</strong> 3:13.</div>
<div><strong>Attendance:</strong> 40,148.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 74&deg; F, Wind 9mph out to Leftfield, Sunny.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Citi Field
"23,161']",New York Yankees,1,14,8,https://www.baseball-reference.com/boxes/MIN/MIN201606170.shtml,"Friday, June 17, 2016",,: 3:03,"Night Game, on grass",Minnesota Twins,0,9,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Mark Carlson, 1B - Quinn Wolcott, 2B - Paul Emmel, 3B - Pat Hoberg.</div><div><strong>Time of Game:</strong> 3:03.</div>
<div><strong>Attendance:</strong> 23,161.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 77&deg; F, Wind 8mph in unknown direction, Overcast.</div>

    </div>

-->",Start Time: 7:45 p.m. Local,: Target Field
"19,767']",Colorado Rockies,0,1,1,https://www.baseball-reference.com/boxes/MIA/MIA201606170.shtml,"Friday, June 17, 2016",,: 2:57,"Night Game, on grass",Miami Marlins,0,9,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Chris Conroy, 1B - Jerry Meals, 2B - Sean Barber, 3B - Ron Kulpa.</div><div><strong>Time of Game:</strong> 2:57.</div>
<div><strong>Attendance:</strong> 19,767.</div>
<div><strong>Start Time Weather:</strong> 77&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 7:13 p.m. Local,: Marlins Park
"44,998']",Milwaukee Brewers,1,12,2,https://www.baseball-reference.com/boxes/LAN/LAN201606170.shtml,"Friday, June 17, 2016",,: 3:37,"Night Game, on grass",Los Angeles Dodgers,0,8,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Mike Everitt, 1B - Jordan Baker, 2B - Tim Timmons, 3B - Ryan Blakney.</div><div><strong>Time of Game:</strong> 3:37.</div>
<div><strong>Attendance:</strong> 44,998.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 75&deg; F, Wind 7mph out to Rightfield, Sunny.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Dodger Stadium
"37,746']",Detroit Tigers,0,10,3,https://www.baseball-reference.com/boxes/KCA/KCA201606170.shtml,"Friday, June 17, 2016",,: 3:17,"Night Game, on grass",Kansas City Royals,2,14,10,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Will Little, 1B - Ted Barrett, 2B - Gabe Morales, 3B - Angel Hernandez.</div><div><strong>Time of Game:</strong> 3:17.</div>
<div><strong>Attendance:</strong> 37,746.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 91&deg; F, Wind 9mph from Right to Left, Sunny.</div>

    </div>

-->",Start Time: 7:15 p.m. Local,: Kauffman Stadium
"37,560']",Cincinnati Reds,1,11,4,https://www.baseball-reference.com/boxes/HOU/HOU201606170.shtml,"Friday, June 17, 2016",,: 3:57,"Night Game, on grass",Houston Astros,0,8,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - John Hirschbeck, 1B - Vic Carapazza, 2B - D.J. Reyburn, 3B - Bill Welke.</div><div><strong>Time of Game:</strong> 3:57.</div>
<div><strong>Attendance:</strong> 37,560.</div>
<div><strong>Start Time Weather:</strong> 73&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Minute Maid Park
"27,912']",Chicago White Sox,0,7,2,https://www.baseball-reference.com/boxes/CLE/CLE201606170.shtml,"Friday, June 17, 2016",,: 2:47,"Night Game, on grass",Cleveland Indians,0,8,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Todd Tichenor, 1B - Bill Miller, 2B - Tom Woodring, 3B - Tony Randazzo.</div><div><strong>Time of Game:</strong> 2:47.</div>
<div><strong>Attendance:</strong> 27,912.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 75&deg; F, Wind 13mph in from Rightfield, Sunny.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Progressive Field
"41,547']",Pittsburgh Pirates,0,3,0,https://www.baseball-reference.com/boxes/CHN/CHN201606170.shtml,"Friday, June 17, 2016",,: 3:18,"Day Game, on grass",Chicago Cubs,0,9,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Gary Cederstrom, 1B - Eric Cooper, 2B - Jim Wolf, 3B - Ramon De Jesus.</div><div><strong>Time of Game:</strong> 3:18.</div>
<div><strong>Attendance:</strong> 41,547.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 7mph in from Centerfield, Sunny.</div>

    </div>

-->",Start Time: 1:21 p.m. Local,: Wrigley Field
"35,896']",Seattle Mariners,1,10,8,https://www.baseball-reference.com/boxes/BOS/BOS201606170.shtml,"Friday, June 17, 2016",,: 2:49,"Night Game, on grass",Boston Red Sox,0,11,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jerry Layne, 1B - Hunter Wendelstedt, 2B - Ben May, 3B - Tripp Gibson.</div><div><strong>Time of Game:</strong> 2:49.</div>
<div><strong>Attendance:</strong> 35,896.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 73&deg; F, Wind 9mph from Right to Left, Cloudy.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Fenway Park
"38,306']",Toronto Blue Jays,1,13,13,https://www.baseball-reference.com/boxes/BAL/BAL201606170.shtml,"Friday, June 17, 2016",,: 2:53,"Night Game, on grass",Baltimore Orioles,0,7,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Lance Barrett, 1B - Dan Iassogna, 2B - Dale Scott, 3B - Bob Davidson.</div><div><strong>Time of Game:</strong> 2:53.</div>
<div><strong>Attendance:</strong> 38,306.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 80&deg; F, Wind 3mph out to Leftfield, Cloudy.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Oriole Park at Camden Yards
"11,331']",Seattle Mariners,0,13,6,https://www.baseball-reference.com/boxes/TBA/TBA201606160.shtml,"Thursday, June 16, 2016",,: 3:30,"Day Game, on turf",Tampa Bay Rays,3,12,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Ron Kulpa, 1B - Chris Conroy, 2B - Jerry Meals, 3B - Sean Barber.</div><div><strong>Time of Game:</strong> 3:30.</div>
<div><strong>Attendance:</strong> 11,331.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Tropicana Field
"22,648']",Washington Nationals,1,9,8,https://www.baseball-reference.com/boxes/SDN/SDN201606160.shtml,"Thursday, June 16, 2016",,: 3:18,"Night Game, on grass",San Diego Padres,2,10,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Gerry Davis, 1B - Carlos Torres, 2B - Brian Knight, 3B - Sam Holbrook.</div><div><strong>Time of Game:</strong> 3:18.</div>
<div><strong>Attendance:</strong> 22,648.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 10mph from Left to Right, Sunny.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Petco Park
"22,279']",Toronto Blue Jays,1,17,13,https://www.baseball-reference.com/boxes/PHI/PHI201606160.shtml,"Thursday, June 16, 2016",,: 3:04,"Night Game, on grass",Philadelphia Phillies,4,5,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Tony Randazzo, 1B - Todd Tichenor, 2B - Bill Miller, 3B - Tom Woodring.</div><div><strong>Time of Game:</strong> 3:04.</div>
<div><strong>Attendance:</strong> 22,279.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 69&deg; F, Wind 6mph from Right to Left.</div>

    </div>

-->",Start Time: 7:08 p.m. Local,: Citizens Bank Park
